"epic","resolution","ts","open","high","low","close","volume"
"CC.D.CL.UNC.IP","MINUTE","1772675820","7376.299999999999","7378.5","7365.2","7373.700000000001","740"
"CC.D.CL.UNC.IP","MINUTE","1772675880","7374.3","7379.8","7372.9","7375.4","804"
"CC.D.CL.UNC.IP","MINUTE","1772675940","7375.200000000001","7389.1","7369.15","7388.1","766"
"CC.D.CL.UNC.IP","MINUTE","1772676000","7388.9","7393.85","7359.65","7361.1","615"
"CC.D.CL.UNC.IP","MINUTE","1772676060","7361.5","7366.2","7355.299999999999","7364.799999999999","544"
"CC.D.CL.UNC.IP","MINUTE","1772676120","7364.5","7386.9","7353.9","7382.6","612"
"CC.D.CL.UNC.IP","MINUTE","1772676180","7383.6","7393.7","7374.15","7386","475"
"CC.D.CL.UNC.IP","MINUTE","1772676240","7385.799999999999","7403.25","7383.200000000001","7402.6","1164"
"CC.D.CL.UNC.IP","MINUTE","1772676300","7402.799999999999","7404.8","7389.25","7393.299999999999","622"
"CC.D.CL.UNC.IP","MINUTE","1772676360","7394.299999999999","7398","7386.950000000001","7396.4","530"
"CC.D.CL.UNC.IP","MINUTE","1772676420","7395.6","7403.05","7389.2","7394.4","404"
"CC.D.CL.UNC.IP","MINUTE","1772676480","7394.6","7403.6","7393.4","7402.200000000001","696"
"CC.D.CL.UNC.IP","MINUTE","1772676540","7402","7402.55","7386.6","7389.1","677"
"CC.D.CL.UNC.IP","MINUTE","1772676600","7388.9","7391.15","7379.200000000001","7386.4","886"
"CC.D.CL.UNC.IP","MINUTE","1772676660","7386.200000000001","7386.9","7351.4","7352.5","1587"
"CC.D.CL.UNC.IP","MINUTE","1772676720","7352.200000000001","7352.6","7337.05","7338.4","1839"
"CC.D.CL.UNC.IP","MINUTE","1772676780","7338.700000000001","7348.35","7331.85","7348.1","1068"
"CC.D.CL.UNC.IP","MINUTE","1772676840","7347.9","7351.9","7330.5","7332","972"
"CC.D.CL.UNC.IP","MINUTE","1772676900","7333","7342.4","7325","7342.4","1087"
"CC.D.CL.UNC.IP","MINUTE","1772676960","7343.6","7346.5","7335.15","7343.4","935"
"CC.D.CL.UNC.IP","MINUTE","1772677020","7343","7354","7335.1","7350.299999999999","823"
"CC.D.CL.UNC.IP","MINUTE","1772677080","7349.799999999999","7354.85","7347.1","7349.799999999999","666"
"CC.D.CL.UNC.IP","MINUTE","1772677140","7350","7355","7343.1","7350.700000000001","685"
"CC.D.CL.UNC.IP","MINUTE","1772677200","7350.299999999999","7351.5","7342.4","7349.799999999999","789"
"CC.D.CL.UNC.IP","MINUTE","1772677260","7350","7362","7349.65","7357.299999999999","747"
"CC.D.CL.UNC.IP","MINUTE","1772677320","7357.1","7357.75","7342.4","7348.299999999999","603"
"CC.D.CL.UNC.IP","MINUTE","1772677380","7348.700000000001","7354.85","7346.450000000001","7352.6","473"
"CC.D.CL.UNC.IP","MINUTE","1772677440","7353","7354.4","7341.15","7354.4","502"
"CC.D.CL.UNC.IP","MINUTE","1772677500","7353.700000000001","7366.9","7353.45","7360.4","542"
"CC.D.CL.UNC.IP","MINUTE","1772677560","7359.700000000001","7360.4","7332","7334","709"
"CC.D.CL.UNC.IP","MINUTE","1772677620","7334.6","7339.65","7331.85","7337.4","478"
"CC.D.CL.UNC.IP","MINUTE","1772677680","7336.6","7343","7333.299999999999","7341.299999999999","448"
"CC.D.CL.UNC.IP","MINUTE","1772677740","7340.4","7365.700000000001","7339.5","7355.1","940"
"CC.D.CL.UNC.IP","MINUTE","1772677800","7353.799999999999","7353.799999999999","7320.4","7346.9","3079"
"CC.D.CL.UNC.IP","MINUTE","1772677860","7349.6","7359","7340.75","7355.4","1027"
"CC.D.CL.UNC.IP","MINUTE","1772677920","7355","7366.2","7344.9","7356.200000000001","1203"
"CC.D.CL.UNC.IP","MINUTE","1772677980","7358.6","7374.200000000001","7358.6","7361","1418"
"CC.D.CL.UNC.IP","MINUTE","1772678040","7360.9","7371.65","7351.9","7354.700000000001","543"
"CC.D.CL.UNC.IP","MINUTE","1772678100","7355.5","7366.200000000001","7351.9","7365","882"
"CC.D.CL.UNC.IP","MINUTE","1772678160","7365.4","7367.75","7343.450000000001","7352.5","1558"
"CC.D.CL.UNC.IP","MINUTE","1772678220","7351.9","7354.5","7331.5","7340.700000000001","910"
"CC.D.CL.UNC.IP","MINUTE","1772678280","7341.3","7380.1","7340.4","7375.799999999999","812"
"CC.D.CL.UNC.IP","MINUTE","1772678340","7375.9","7389.299999999999","7364.3","7381.5","1152"
"CC.D.CL.UNC.IP","MINUTE","1772678400","7381.299999999999","7381.65","7363.75","7367","616"
"CC.D.CL.UNC.IP","MINUTE","1772678460","7367.299999999999","7371","7361.299999999999","7369.6","305"
"CC.D.CL.UNC.IP","MINUTE","1772678520","7369","7370.4","7363.3","7369.1","316"
"CC.D.CL.UNC.IP","MINUTE","1772678580","7369.799999999999","7379.25","7365.299999999999","7376.9","468"
"CC.D.CL.UNC.IP","MINUTE","1772678640","7377.700000000001","7384.200000000001","7373.200000000001","7379.5","520"
"CC.D.CL.UNC.IP","MINUTE","1772678700","7378.9","7385.200000000001","7371.55","7377.4","525"
"CC.D.CL.UNC.IP","MINUTE","1772678760","7376.700000000001","7380.5","7368.85","7376.200000000001","326"
"CC.D.CL.UNC.IP","MINUTE","1772678820","7376.200000000001","7376.200000000001","7364.65","7366.299999999999","411"
"CC.D.CL.UNC.IP","MINUTE","1772678880","7367.299999999999","7367.6","7347.549999999999","7347.6","626"
"CC.D.CL.UNC.IP","MINUTE","1772678940","7347.85","7355.299999999999","7343","7353.4","603"
"CC.D.CL.UNC.IP","MINUTE","1772679000","7353.799999999999","7365.25","7352.15","7363.6","755"
"CC.D.CL.UNC.IP","MINUTE","1772679060","7363.5","7370.35","7354.200000000001","7364.4","374"
"CC.D.CL.UNC.IP","MINUTE","1772679120","7365.200000000001","7373.799999999999","7359.200000000001","7367.6","477"
"CC.D.CL.UNC.IP","MINUTE","1772679180","7367.4","7388.200000000001","7364.299999999999","7385.4","471"
"CC.D.CL.UNC.IP","MINUTE","1772679240","7384.1","7387.25","7380.45","7381.200000000001","776"
"CC.D.CL.UNC.IP","MINUTE","1772679300","7381.1","7384.9","7375.200000000001","7383.6","412"
"CC.D.CL.UNC.IP","MINUTE","1772679360","7384.6","7390.8","7376.15","7376.799999999999","553"
"CC.D.CL.UNC.IP","MINUTE","1772679420","7376.4","7383.6","7371.7","7379.4","561"
"CC.D.CL.UNC.IP","MINUTE","1772679480","7379.6","7386.1","7379.15","7382.1","319"
"CC.D.CL.UNC.IP","MINUTE","1772679540","7382","7383.45","7369.1","7375.4","522"
"CC.D.CL.UNC.IP","MINUTE","1772679600","7374.6","7395.6","7374.3","7395.6","966"
"CC.D.CL.UNC.IP","MINUTE","1772679660","7395.4","7409.450000000001","7393.6","7404.200000000001","678"
"CC.D.CL.UNC.IP","MINUTE","1772679720","7404.5","7415.7","7393.1","7409.5","692"
"CC.D.CL.UNC.IP","MINUTE","1772679780","7409.200000000001","7416.200000000001","7404.3","7408.1","976"
"CC.D.CL.UNC.IP","MINUTE","1772679840","7409","7419.799999999999","7402.9","7415.6","596"
"CC.D.CL.UNC.IP","MINUTE","1772679900","7415.700000000001","7426.9","7409.15","7421.5","1140"
"CC.D.CL.UNC.IP","MINUTE","1772679960","7421.4","7421.6","7398.95","7399.4","1099"
"CC.D.CL.UNC.IP","MINUTE","1772680020","7398.9","7402.6","7389.700000000001","7392.4","616"
"CC.D.CL.UNC.IP","MINUTE","1772680080","7393.200000000001","7399.35","7389.45","7393.5","628"
"CC.D.CL.UNC.IP","MINUTE","1772680140","7393.799999999999","7394.15","7383.1","7385.200000000001","415"
"CC.D.CL.UNC.IP","MINUTE","1772680200","7385.1","7385.549999999999","7363.700000000001","7371.6","602"
"CC.D.CL.UNC.IP","MINUTE","1772680260","7371.6","7384.3","7361.25","7375.200000000001","500"
"CC.D.CL.UNC.IP","MINUTE","1772680320","7374.700000000001","7387.299999999999","7370.5","7379.200000000001","703"
"CC.D.CL.UNC.IP","MINUTE","1772680380","7379.700000000001","7385.55","7372.700000000001","7374.1","708"
"CC.D.CL.UNC.IP","MINUTE","1772680440","7374.6","7375","7362.5","7366.1","374"
"CC.D.CL.UNC.IP","MINUTE","1772680500","7366.799999999999","7373.65","7360.35","7362.799999999999","486"
"CC.D.CL.UNC.IP","MINUTE","1772680560","7362.799999999999","7369.9","7354.799999999999","7365.1","716"
"CC.D.CL.UNC.IP","MINUTE","1772680620","7365.9","7376.45","7364.25","7372.4","983"
"CC.D.CL.UNC.IP","MINUTE","1772680680","7372.1","7383.700000000001","7367.3","7377.5","605"
"CC.D.CL.UNC.IP","MINUTE","1772680740","7377.5","7380.75","7375.2","7377.799999999999","295"
"CC.D.CL.UNC.IP","MINUTE","1772680800","7378.4","7393.6","7374.95","7390.4","458"
"CC.D.CL.UNC.IP","MINUTE","1772680860","7390.6","7393.3","7384.7","7386.700000000001","331"
"CC.D.CL.UNC.IP","MINUTE","1772680920","7386.200000000001","7386.3","7370.1","7372.299999999999","516"
"CC.D.CL.UNC.IP","MINUTE","1772680980","7372.5","7384.4","7357.200000000001","7359.6","1586"
"CC.D.CL.UNC.IP","MINUTE","1772681040","7360.4","7368.4","7359.25","7364.4","709"
"CC.D.CL.UNC.IP","MINUTE","1772681100","7364.9","7373.35","7361.9","7369.6","436"
"CC.D.CL.UNC.IP","MINUTE","1772681160","7369.9","7375.85","7356.4","7358.1","1047"
"CC.D.CL.UNC.IP","MINUTE","1772681220","7358","7373.95","7352.7","7367.799999999999","507"
"CC.D.CL.UNC.IP","MINUTE","1772681280","7367.4","7369.35","7359.5","7360.1","342"
"CC.D.CL.UNC.IP","MINUTE","1772681340","7359.6","7362.05","7328.2","7334.1","2210"
"CC.D.CL.UNC.IP","MINUTE","1772681400","7333.4","7353.6","7333.4","7353","1141"
"CC.D.CL.UNC.IP","MINUTE","1772681460","7352.9","7356.549999999999","7344.15","7350.799999999999","391"
"CC.D.CL.UNC.IP","MINUTE","1772681520","7350.6","7352.6","7339.4","7343.200000000001","401"
"CC.D.CL.UNC.IP","MINUTE","1772681580","7342.299999999999","7345.9","7328.299999999999","7332.1","1065"
"CC.D.CL.UNC.IP","MINUTE","1772681640","7332.75","7341.65","7331.35","7336.799999999999","359"
"CC.D.CL.UNC.IP","MINUTE","1772681700","7337","7343","7326.700000000001","7326.700000000001","557"
"CC.D.CL.UNC.IP","MINUTE","1772681760","7326.799999999999","7340.1","7321.15","7321.4","802"
"CC.D.CL.UNC.IP","MINUTE","1772681820","7321.4","7330","7317.799999999999","7322.700000000001","567"
"CC.D.CL.UNC.IP","MINUTE","1772681880","7323.4","7338.55","7315.299999999999","7328.799999999999","1548"
"CC.D.CL.UNC.IP","MINUTE","1772681940","7329","7341","7326.65","7339.9","845"
